BitCoin Name:,Difference bwn Avg of Open and close value: 
AntiBitcoin,-5.67955112219e-06
Bitcoin,-4.44997211377
Bitcoin 21,-0.000332771689498
Bitcoin Atom,12.3374647887
Bitcoin Cash,-0.979430894309
Bitcoin Diamond,0.528442622951
Bitcoin Fast,7.40443686007e-06
Bitcoin God,1.27246575342
Bitcoin Gold,2.91694805195
Bitcoin Green,0.22
Bitcoin Planet,8.32846715328e-05
Bitcoin Plus,-0.00640219088936
Bitcoin Private,2.015
Bitcoin Red,-0.000309986842105
Bitcoin Scrypt,5.25210084034e-06
BitcoinDark,-0.0446296612306
BitcoinX,0.000659712871287
BitcoinZ,-1.66909090909e-05
Debitcoin,3.08796296296e-06
First Bitcoin,-0.000109621890547
First Bitcoin Capital,-0.000414640350877
Lightning Bitcoin [Futures],-0.0990243902438
LiteBitcoin,-2.5843373494e-05
Orbitcoin,-0.000212897615708
QubitCoin,8.57943925233e-07
RabbitCoin,-5.9338961039e-08
Super Bitcoin,1.97158415842
United Bitcoin,4.83663265306
eBitcoin,-0.000521164383562
eBitcoinCash,0.0726222093023,0.0726899844961
